order_id,customer_id,order_date,status
1,2953,2026-04-08,Delivered
2,1568,2026-06-24,Shipped
3,3532,2026-04-23,Returned
4,3175,2024-07-01,Cancelled
5,103,2025-09-28,Delivered
6,6002,2024-01-24,Delivered
7,1259,2023-12-22,Delivered
8,2293,2023-11-05,Delivered
9,7468,2024-08-04,Shipped
10,3296,2026-06-12,Delivered
11,7324,2025-06-07,Shipped
12,717,2026-02-11,Delivered
13,2069,2025-02-09,Delivered
14,1426,2024-04-30,Delivered
15,5758,2025-01-19,Delivered
16,3632,2025-03-16,Delivered
17,6781,2026-07-03,Delivered
18,364,2025-01-11,Delivered
19,7434,2024-10-08,Delivered
20,6898,2025-08-21,Delivered
21,888,2026-04-19,Delivered
22,7751,2026-01-19,Delivered
23,5146,2023-11-13,Delivered
24,5837,2026-06-03,Processing
25,7154,2025-06-08,Delivered
26,9488,2023-01-29,Delivered
27,1246,2026-01-10,Returned
28,1364,2025-10-31,Delivered
29,6277,2025-03-25,Delivered
30,3320,2026-06-05,Returned
31,5980,2026-02-23,Delivered
32,3763,2026-06-02,Cancelled
33,274,2025-12-07,Delivered
34,8680,2025-08-27,Delivered
35,5238,2026-07-21,Processing
36,6859,2024-09-28,Shipped
37,7248,2025-12-28,Delivered
38,1774,2026-02-28,Delivered
39,2424,2024-09-21,Delivered
40,4343,2025-10-29,Delivered
41,5478,2025-11-25,Delivered
42,1809,2025-06-29,Delivered
43,566,2025-02-03,Processing
44,1062,2024-12-10,Delivered
45,8265,2023-05-22,Delivered
46,818,2025-12-25,Delivered
47,6412,2026-06-03,Delivered
48,3675,2026-07-14,Delivered
49,3902,2023-08-15,Delivered
50,6035,2026-01-23,Delivered
51,868,2023-01-30,Shipped
52,4618,2024-03-25,Shipped
53,4318,2024-05-22,Cancelled
54,541,2025-09-04,Delivered
55,7577,2023-03-10,Cancelled
56,4417,2025-05-27,Delivered
57,3014,2024-10-11,Delivered
58,2780,2025-07-23,Delivered
59,3670,2026-04-05,Cancelled
60,9264,2026-06-26,Delivered
61,8833,2025-03-21,Delivered
62,7439,2025-02-11,Delivered
63,604,2025-04-05,Delivered
64,3879,2026-07-16,Shipped
65,3916,2023-05-16,Delivered
66,938,2025-11-03,Delivered
67,9662,2024-06-30,Delivered
68,8982,2024-03-18,Delivered
69,1207,2026-01-12,Delivered
70,6157,2025-06-10,Delivered
71,8506,2026-02-03,Shipped
72,4915,2023-06-19,Delivered
73,4850,2026-05-30,Processing
74,2446,2026-07-13,Delivered
75,3320,2026-07-11,Delivered
76,352,2026-05-25,Processing
77,6262,2026-05-22,Delivered
78,4276,2025-09-12,Processing
79,7684,2025-09-08,Delivered
80,6970,2026-01-23,Cancelled
81,2987,2025-09-19,Delivered
82,2624,2026-04-23,Shipped
83,6276,2026-06-01,Shipped
84,1063,2023-11-28,Delivered
85,328,2025-12-10,Delivered
86,9935,2026-06-13,Shipped
87,7144,2026-03-11,Delivered
88,1115,2025-07-16,Processing
89,58,2026-05-18,Delivered
90,7658,2023-08-09,Processing
91,2228,2026-04-11,Delivered
92,2754,2026-01-09,Delivered
93,8584,2025-03-02,Shipped
94,8123,2026-05-15,Delivered
95,9645,2026-05-05,Delivered
96,8299,2023-12-13,Cancelled
97,1724,2025-06-18,Delivered
98,9829,2026-06-25,Delivered
99,462,2026-07-15,Delivered
100,5210,2026-06-28,Delivered
101,9224,2025-12-31,Returned
102,2741,2024-06-11,Delivered
103,1969,2026-07-23,Delivered
104,3935,2026-03-26,Delivered
105,9322,2026-06-20,Delivered
106,4626,2026-03-31,Shipped
107,9992,2024-10-30,Delivered
108,8127,2025-01-02,Delivered
109,4353,2026-05-08,Delivered
110,6817,2025-10-25,Delivered
111,8870,2024-10-25,Delivered
112,1852,2025-05-31,Delivered
113,8350,2025-02-15,Returned
114,8178,2026-02-01,Delivered
115,5458,2025-09-19,Delivered
116,8799,2024-05-25,Delivered
117,9482,2025-07-16,Delivered
118,2908,2024-10-23,Shipped
119,1315,2025-09-14,Delivered
120,6226,2026-05-19,Delivered
121,9469,2026-05-31,Delivered
122,8043,2023-11-11,Delivered
123,6886,2026-06-28,Delivered
124,3455,2024-11-15,Delivered
125,3488,2025-09-26,Delivered
126,9095,2025-12-22,Delivered
127,5259,2026-02-07,Delivered
128,8448,2026-02-02,Delivered
129,7823,2026-01-06,Delivered
130,5432,2026-06-12,Delivered
131,873,2023-12-23,Delivered
132,8993,2026-07-19,Delivered
133,8261,2025-05-24,Delivered
134,2583,2025-08-14,Processing
135,9655,2026-02-17,Delivered
136,2003,2025-10-09,Delivered
137,2707,2026-06-26,Delivered
138,3622,2024-09-10,Delivered
139,8368,2025-03-26,Cancelled
140,133,2026-04-27,Delivered
141,4537,2026-02-07,Shipped
142,7199,2026-04-10,Delivered
143,909,2024-09-10,Cancelled
144,8110,2025-11-26,Shipped
145,9217,2023-09-08,Delivered
146,1216,2026-06-25,Delivered
147,3469,2026-04-25,Delivered
148,5731,2026-07-07,Cancelled
149,1254,2023-08-18,Delivered
150,5763,2023-12-20,Delivered
151,7528,2024-08-14,Delivered
152,8448,2023-05-27,Shipped
153,6235,2025-07-18,Processing
154,7385,2026-07-22,Returned
155,3055,2026-06-13,Delivered
156,3269,2026-01-05,Delivered
157,6187,2026-07-06,Shipped
158,79,2026-02-10,Delivered
159,5317,2025-06-11,Delivered
160,4461,2024-05-14,Cancelled
161,4467,2024-07-06,Delivered
162,1106,2023-12-12,Delivered
163,7976,2026-01-16,Delivered
164,4268,2025-12-16,Delivered
165,9578,2024-01-17,Cancelled
166,23,2023-11-02,Delivered
